Mchirp q EOS_ID alpha zeta L
0.119139772011249145E+01 0.138270986080169678E+01 0.412740230560302734E+04 -0.191358530521392822E+01 0.602455437183380127E-01 0.455204596460455058E+01
0.118715176146157342E+01 0.162083444139229371E+01 0.442139379506418754E+04 -0.195023546132912462E+01 0.479475721031837221E+00 0.475460560520237063E+01
0.119348341149009718E+01 0.116094011068344116E+01 0.362158864736557007E+04 -0.160091400146484375E+01 0.417187273502349854E+00 0.505956155701776034E+01
0.118992735350910905E+01 0.139287023477894589E+01 0.335009819061808275E+04 -0.198793858026599812E+01 0.673856310847843754E-01 0.507273638534134808E+01
0.118463608637165341E+01 0.155734807158601440E+01 0.400984741767077321E+04 -0.155247142539077543E+01 0.270849776686710897E+00 0.577704292384172469E+01
0.118407269348188970E+01 0.129972863923268811E+01 0.273659610084545830E+04 -0.144711084519035182E+01 0.460768697149367246E+00 0.595516824815311985E+01
0.119176170807437076E+01 0.141250330209732056E+01 0.388953030109405518E+04 -0.172330367565155029E+01 0.106161206960678101E+00 0.598256383586109397E+01
0.118913494080260151E+01 0.132802539340336745E+01 0.392326839823173304E+04 -0.179351761813562982E+01 0.104716498034835223E+00 0.614200163545937983E+01
0.118624835957820340E+01 0.109295012800881897E+01 0.261171889645079000E+04 -0.183263986080560914E+01 0.648273695473909478E-01 0.615634680561525194E+01
0.118808694954530836E+01 0.141968324228107590E+01 0.405276740476154191E+04 -0.186131495485896314E+01 0.271973683484807049E+00 0.616257640123953188E+01
0.118971245720806040E+01 0.104994305355235618E+01 0.399897632488894533E+04 -0.192741070183038410E+01 0.299902524968141848E+00 0.620780425289848292E+01
0.118721626541568237E+01 0.150647477053496370E+01 0.352140860425054416E+04 -0.143024676386239857E+01 0.133587608074675155E-01 0.630458965128753324E+01
0.118726500685725322E+01 0.155816402931974674E+01 0.441823837007330258E+04 -0.135433545952404444E+01 0.215875518946103795E+00 0.648584759561333080E+01
0.118521023325699404E+01 0.149221939804792880E+01 0.378092170217928060E+04 -0.184412903378315840E+01 0.285313076048431202E+00 0.664263033319933527E+01
0.118928678658394915E+01 0.158120047936507291E+01 0.472485286783867105E+04 -0.187198431261764719E+01 0.906956711120570358E-01 0.668826754063798479E+01
0.119379370508202198E+01 0.118701237117051406E+01 0.431010459071030436E+04 -0.161774673336102492E+01 0.431328095103594489E+00 0.680069849933781612E+01
0.118843478582470174E+01 0.118699585748303504E+01 0.315877912447924564E+04 -0.168900829473260750E+01 0.121060756598892691E-01 0.690374010762057821E+01
0.118783437285147997E+01 0.161714562024093000E+01 0.313127782485050921E+04 -0.180449616666563828E+01 0.737867830928936597E-01 0.692348015528742700E+01
0.119382336731115957E+01 0.146871703586722635E+01 0.480886598957682600E+04 -0.166853013531058481E+01 0.337068052710205124E+00 0.694997551639887945E+01
0.118980252219748195E+01 0.128963101144358205E+01 0.393811587644031351E+04 -0.130714321291037727E+01 0.398687439934837351E+00 0.698182805376371540E+01
0.118474340664991096E+01 0.143959671258926392E+01 0.475011259317398071E+04 -0.179549992084503174E+01 0.201550275087356567E+00 0.702741715991637150E+01
0.118494491754808484E+01 0.103458821726794303E+01 0.451311336640183436E+04 -0.185749285184986501E+01 0.704976607661213506E-01 0.704060228934645949E+01
0.119266397414779823E+01 0.126610604694642825E+01 0.498497459832481854E+04 -0.148401984087498917E+01 0.146603566797859547E+00 0.704516735196614352E+01
0.119252791316364015E+01 0.119869179743508991E+01 0.448221403640168137E+04 -0.170277232232700237E+01 0.279355114362699442E+00 0.706363731857801813E+01
0.119183743783640517E+01 0.118885070178761576E+01 0.488734100616959131E+04 -0.167162516750742740E+01 0.378842075881818119E-01 0.709710225125310767E+01
0.119127058850280054E+01 0.108958381414413452E+01 0.316972732543945312E+04 -0.147975623607635498E+01 0.221895277500152588E+00 0.717173265262636139E+01
0.119185013846356047E+01 0.119917781007656776E+01 0.416283705131415809E+04 -0.165894533884247930E+01 0.152349907269688889E+00 0.717468340124011572E+01
0.118400518236044916E+01 0.139402061700820923E+01 0.413468033075332642E+04 -0.140389823913574219E+01 0.372320711612701416E-01 0.719793676014154382E+01
0.119122774515889907E+01 0.158848494291305542E+01 0.359190762042999268E+04 -0.179555368423461914E+01 0.461422502994537354E-01 0.720772800171757400E+01
0.118389420762537889E+01 0.123423047586127854E+01 0.402377376544357458E+04 -0.171451788597231003E+01 0.398798157454174351E+00 0.725092697018543575E+01
0.118936369897743366E+01 0.118237401600732861E+01 0.343062703342190389E+04 -0.118698280109383703E+01 0.158628536769963829E+00 0.732314217640000198E+01
0.119302471316450664E+01 0.140626877546310425E+01 0.374717921018600464E+04 -0.156311309337615967E+01 0.429268717765808105E+00 0.733530592783510649E+01
0.119255898174272534E+01 0.112883901596069336E+01 0.416437834501266479E+04 -0.198391473293304443E+01 0.973011255264282227E-01 0.736584046177383378E+01
0.118889809887746511E+01 0.160764473676681519E+01 0.409595489501953125E+04 -0.153404378890991211E+01 0.797331631183624268E-01 0.737315149064249642E+01
0.118780087062282314E+01 0.163120210585871561E+01 0.472027101707817565E+04 -0.190437512292852573E+01 0.197951071047424793E+00 0.738163069208560785E+01
0.118445835627176677E+01 0.101733038434626355E+01 0.473338902187106851E+04 -0.150031697682420084E+01 0.114133517464782674E+00 0.738502559421732485E+01
0.118915501635540499E+01 0.121104227391639441E+01 0.319616271197352489E+04 -0.177142637200209219E+01 0.351565793397745019E+00 0.741279678728392533E+01
0.119196046305978376E+01 0.153958774289064815E+01 0.479453489891424579E+04 -0.174582627780697641E+01 0.417459030374080275E+00 0.742093199236715861E+01
