distance inclination_degree
44.35559 48.17331
30.89377 49.54585
39.40643 35.47666
34.89011 51.21815
36.40335 80.34168
22.91977 26.94453
30.15425 80.39993
39.80307 83.44503
33.77258 69.66758
28.35879 56.72702
37.24740 24.28015
48.23184 3.13600
39.48915 15.53652
45.35926 9.92416
37.65998 51.67085
30.48041 50.30385
49.18693 64.43256
39.85088 10.97846
47.16719 18.64312
39.67125 33.35182
21.91862 26.94453
49.61820 76.07380
42.72918 74.68200
39.77890 58.21911
57.39833 83.26707
40.92332 8.52256
40.09795 21.72044
42.16341 66.53417
28.65920 33.15025
48.83139 58.35938
31.63857 6.99363
40.02322 54.99617
28.30246 72.86333
39.98767 81.37572
36.89800 85.08548
58.05148 66.87453
34.26630 49.54585
33.72124 87.07123
29.78639 66.36616
29.92532 59.29852
38.68497 81.37572
43.25323 16.38120
47.77259 15.84771
31.84176 85.58407
48.67926 81.11275
48.72797 78.38805
37.10997 89.75938
36.53312 52.82969
52.02514 28.38354
34.40873 13.09795
29.22025 87.91401
43.98964 37.94255
42.42251 70.33944
29.94229 81.94199
33.54415 78.36931
27.29363 46.76771
32.66550 21.14553
43.35632 16.38120
43.59250 28.93517
38.70187 11.82792
29.83229 48.32458
25.93747 57.13652
29.30157 64.21043
36.93644 19.30617
61.91005 85.72386
25.17007 57.77818
30.77157 27.91089
42.55611 63.92291
44.60054 18.64312
29.22643 48.26000
41.90725 86.24865
50.43194 15.84771
32.10405 34.49213
31.84648 50.30385
39.32025 2.62784
36.78751 77.68187
44.03926 18.47601
36.25856 34.87241
24.37729 57.77818
39.98084 83.43362
36.43223 81.37572
33.97213 78.36931
40.42842 42.75017
46.11875 1.38577
27.04399 18.38889
45.33197 87.11899
29.84262 47.59711
33.91497 68.48226
34.84041 68.48226
52.82091 28.38354
41.14910 14.08289
32.31110 46.89718
44.96963 16.38120
51.44521 64.43256
24.25125 26.94453
41.02358 35.47666
51.76971 83.66885
48.07386 12.38517
40.66364 66.53417
38.49440 62.15783
37.63195 70.68046
43.81415 0.71222
30.85755 50.30385
38.28454 83.43362
29.93050 55.48771
44.08111 61.04475
29.60675 46.89718
24.76652 35.58310
29.60933 44.24426
33.53352 44.07027
31.04060 84.19950
30.03443 68.78457
27.75195 45.11600
40.40759 18.68331
48.51317 88.14218
39.77249 18.68331
31.51265 37.54865
38.14744 65.62509
31.36177 41.83862
